"gene","n_probes","n_sig","n_hyper","n_hypo","mean_logFC"
"DUSP4",29,27,3,7,0.006
"TNF",26,25,0,23,-0.169
"SMAD3",18,14,0,3,-0.063
"IL37",12,12,0,6,-0.118
"CDKN1A",13,10,0,2,-0.056
"MAPK10",13,10,0,8,-0.162
"SNAI1",11,10,7,1,0.084
"KLF4",10,9,5,0,0.105
"TGFBR2",10,8,0,1,-0.05
"IL10",6,6,0,5,-0.154
"DUSP10",7,5,2,1,0.014
"MYC",5,4,0,1,-0.071
"SMAD2",4,4,0,4,-0.141
"MAPK8",4,3,0,0,-0.027
"TGFB1",7,3,0,2,-0.079
"CCDC110",3,2,0,2,-0.138
"HDAC11",2,2,0,1,-0.106
"NPC1",2,2,0,2,-0.119
"SMAD7",7,2,2,0,0.057
"IL6",1,1,0,0,-0.089
"SMAD4",1,1,0,1,-0.121
"MAPK9",1,0,0,0,0.004
"TGFBR1",2,0,0,0,0.014
"TGFBRAP1",1,0,0,0,-0.014
