"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","167/4095","466/18986",0.358369098712446,1.66153741346874,7.58223429162987,6.53167873825273e-13,4.0679295181838e-09,3.29746644512212e-09,"CFTR/ABCB5/ABCC8/CACNA1G/SCN4A/MAPK8IP2/DCN/GABRA3/EHD3/ATP1A2/FHL1/KCNG1/ADRB1/KCNH2/SEZ6/ABCC9/DRD4/PTPN3/TRPC5/KCNQ2/ACTN2/SLC4A4/CHRNA3/KCNN2/SLC4A11/KCNH4/NRCAM/SLC26A3/GABRP/TREM2/HCN2/CACNA1I/CELF4/GABRE/CBLN1/GRIN2D/STX1A/CNTNAP1/MPP2/GABRA4/P2RX3/ASIC1/GABRR2/TBX18/GABRG2/FGF12/SLC4A3/TACR1/GRIN3B/RIMS3/CHRNB4/SLC8A2/CNR1/CASQ2/GRIA2/KCNJ5/ADRA1A/NDP/KCNC1/FGF13/SYNE1/POPDC3/ATP1A4/SPART/MTNR1B/KCNH3/CHRND/SCN7A/CHRNA1/HCN4/KCNH5/HCN3/SCN1A/TMEM108/GABRR1/CHRNA6/CDKN2A/HTR3B/GRIK4/TMEM25/CACNA1C/ANK3/GABRA2/GRID2/GRM1/WNT7A/PIEZO2/GNA14/PINK1/CHRNB2/GRIN2C/HCRT/SLC1A7/KCNJ9/KCNF1/GABRG1/GABRB1/TAFA4/ADORA1/ALB/GRIK3/CLDN19/GRIK2/KCNV1/STOX1/KCNC2/NETO1/CHRFAM7A/HTR3A/PIP5KL1/CACNB3/KCNV2/SCN11A/CHRM1/GRM5/ADRB2/CHRNA5/NLGN1/KCNMB3/KCNG3/KCND3/KCNH6/NPAS4/CHRNA7/KCNE5/RIMS2/GRIN1/SCN4B/KCNA3/GBA1/KCNJ10/KCNG2/GPR35/NRXN1/KCNE1/GPR88/GABRG3/CACNB4/GJC1/PYCR1/SLC8A1/ABAT/BEGAIN/GABRR3/CTNNA3/GRIN2A/SCN5A/KCNQ3/KCNH7/MAPT/KCNJ11/GABRD/P2RX2/CLCN1/FZD9/LRRK2/SRC/BCO2/RYR2/DMD/INSYN1/MLLT11/RTL10/KCTD7/GJA5/FXYD1/GABRQ",167
"GO:0071466","cellular response to xenobiotic stimulus","86/4095","198/18986",0.434343434343434,2.01378374711708,7.51982901425126,3.7016759629828e-12,1.15270189487284e-08,9.34380943077131e-09,"NOS2/PAX6/FMO1/DPEP1/KCNH2/ACAA1/AHRR/ABCC9/CYP2W1/CAD/CYP26A1/SOX10/SLC10A1/E2F1/SULT2A1/PON3/CYP2C18/ALDH3A1/CD69/ALDH2/SLCO1B3/BCHE/ABCC5/RAP2A/ABCC4/IL1B/WNK4/KCNC1/CYP2E1/PCNA/GSTM1/SLCO1B1/CYP2J2/UGT2B28/HTR1B/MYC/SLCO2B1/CYP2C9/CYP2C8/AOX1/CYP1A2/REN/NR1I2/CRHBP/ANKRD1/GLYAT/ACSL1/UCHL1/NAT2/CBR3/CYP3A4/PRKAA2/S100A12/CMBL/TLR3/FBP1/CYP2C19/MCM7/ACSM1/NKX3-1/GSTA4/UGT2B7/NAT1/CES3/SLC22A1/GRIN1/TH/NQO1/ADIPOQ/KCNQ3/CYP4F2/PDE2A/SULT1C3/SULT1A1/CYP2B6/CYP2F1/EHMT2/UGT2B11/AS3MT/CERS1/UGT1A1/UGT1A8/UGT1A10/GSTA2/UGT1A7/CYP2A6",86
"GO:0023061","signal release","171/4095","493/18986",0.346855983772819,1.60815817042998,7.17474784550898,8.03716440835388e-12,1.61458487370948e-08,1.30878360110717e-08,"CFTR/ABCC8/TMEM132A/NOS2/GIPR/NNAT/PTPRN/SNCAIP/ACSL4/GAL/CAMK2A/TRPM5/PTGS2/CHRNA3/C1QTNF3/GNAO1/IL11/PLA2G3/CHGA/PCK2/HRH3/SNPH/OXT/SYP/SMPD3/SFRP1/LILRB1/STX1A/GHRHR/TFR2/GCK/GATA3/CXCL12/CPE/ASIC1/TRPV4/GLP1R/GNAT1/CSPG5/GCG/TACR1/KMO/RIMS3/CHRNB4/CNR1/SPP1/FGF23/ECRG4/TNFSF11/INHBA/NR4A1/ACVR1C/PFKFB2/INHA/EDN3/GRM4/SOX4/ABCC4/IL1B/PAX8/WNK4/PRKCG/SYNGR3/GNAZ/VGF/SYT5/UNC13A/ANO1/NR0B2/SNAP25/CHRM3/SLC38A2/GRP/MTNR1B/HTR1B/STX11/EDNRB/IL6/BLK/IL1RN/CCN3/UNC13C/CYP19A1/RBP4/PDX1/ILDR2/REN/SYT2/ABCA12/AGTR1/ILDR1/EPHA5/CRHBP/CPLX2/CLTRN/SLC16A2/HTR2C/GPR119/CHRNA6/PTGES/GLUD1/SYT8/FOXO1/GPR158/WNT7A/ADCY8/MICU3/SYN2/PINK1/GIP/BRSK1/CHRNB2/HCRT/SSTR5/ADORA1/SLC2A2/CADPS/UCN/SLC9B2/GRM2/SPINK1/SLC30A8/TRPV6/STXBP4/PRKCB/NKX3-1/OR51E2/PRRT2/CPLX1/NLGN1/KISS1/SYT9/GPR27/FGG/FGA/FGB/SNCG/C1QTNF1/BRSK2/LEP/MCTP1/RIMS2/SOX11/NRXN1/SCRIB/OXTR/ADIPOQ/CACNB4/PLCB1/MAFA/ABAT/BMP8A/FAM3B/ADRA2C/C1QTNF12/EFNA5/PLA2G6/SEPTIN5/RFX6/P2RY4/KCNJ11/ERC2/LRRK2/NMB/SUCNR1/SELENOM/BGLAP/FER1L5/FOXD1/RASL10B/ADRA2B",171
"GO:0009410","response to xenobiotic stimulus","159/4095","451/18986",0.352549889135255,1.63455731260609,7.15209296629502,1.03698450463036e-11,1.61458487370948e-08,1.30878360110717e-08,"ITGA3/ABCC8/TBXA2R/NOS2/PAX6/FMO1/DPEP1/CPS1/OTC/KCNH2/ACAA1/AHRR/ABCC9/GAL/CYP2W1/PTGS2/ACACB/TP73/SLC1A3/CPB2/CAD/RAD54L/CYP26A1/SOX10/SLC10A1/E2F1/SLC6A2/SFRP1/AMH/SULT2A1/ATP4A/PON3/SLC1A1/CA9/CYP2C18/ALDH3A1/COL1A1/CD69/ALDH2/SLCO1B3/LOX/BCHE/ABCC5/ERRFI1/CENPF/DNMT3A/ADRA1A/CAT/SLC12A5/RAP2A/ABCC4/IL1B/FOSB/WNK4/KCNC1/CYP2E1/ASS1/MAP1B/SLC6A11/PCNA/GSTM1/HMGCS2/SLCO1B1/CYP2J2/UGT2B28/HTR1B/EMX1/IL10/MYC/SLCO2B1/THBS1/CYP2C9/CYP2C8/AOX1/DUSP6/PDX1/CYP1A2/SLC6A3/REN/NR1I2/SRD5A1/CRHBP/PLIN2/ANKRD1/SCGB1A1/GLYAT/ACSL1/CCNO/UCHL1/NAT2/SST/LRP8/GIP/CBR3/ACE/CYP3A4/PRKAA2/S100A12/GRM2/ITGA2/CMBL/TLR3/TNFRSF11B/FBP1/SLITRK5/RET/CYP2C19/PRKCB/MCM7/NNMT/ACSM1/NKX3-1/ABCA3/SCN11A/CDK1/FOS/GSTA4/UGT2B7/NAT1/CES3/SLC22A1/PCSK1/FOSL1/GRIN1/TYMS/TH/OXTR/NQO1/ADIPOQ/GABRG3/ABAT/GRIN2A/KCNQ3/CYP4F2/PDE2A/KCNJ11/SULT1C3/SULT1A1/SRC/RAD54B/CYP2B6/CYP2F1/SLC22A12/CYTB/ND1/EHMT2/UGT2B11/AS3MT/CERS1/RPP21/UGT1A1/BGLAP/UGT1A8/UGT1A10/GSTA2/UGT1A7/CYP2A6/CSAG3/SRD5A2",159
"GO:0044282","small molecule catabolic process","136/4095","375/18986",0.362666666666667,1.6814625966626,6.9894519730266,3.52387219733277e-11,4.35135215396988e-08,3.52720902721826e-08,"PON1/NOS2/TKTL1/FMO1/DPEP1/CYP24A1/HSD17B6/OTC/ACAA1/PFKP/PKM/CYP2W1/ACAT1/ACACB/PGM1/ARG2/BCKDHB/OXCT1/CYP26A1/MIOX/GSTZ1/PCK2/HAO1/LPIN2/MLYCD/FAH/DHDH/IL4I1/SULT2A1/BCAT2/GCDH/PON3/NUDT1/GCK/PHYH/ENO3/SULT1E1/AADAT/DAO/CYP27B1/ALDH2/AGXT2/EHHADH/ACADL/GLS/SCP2/HAO2/KMO/ACADM/HMGCL/CNR1/ALDH8A1/ARG1/FGF23/ALDH6A1/GOT1/AKR1D1/ACADS/SARDH/PFKFB2/PCK1/GOT2/IDUA/ECHS1/GAD1/IVD/SCLY/RIDA/ALDH3B2/GLS2/GLUL/ALDOB/ALDH1B1/DBT/AMDHD1/SORD/SLC27A2/SLC16A3/AMT/HMGCLL1/CYP39A1/IDNK/GLUD1/TKFC/MAT1A/QDPR/TDO2/CPT2/XDH/CDA/CBR3/HK2/ALDH4A1/UROC1/FTCD/CYP3A4/HK3/ASRGL1/HAAO/FABP1/PPM1K/BDH2/FOXK1/GLB1L3/LDHD/ACAA2/CYP7A1/ACOX2/MFSD2A/DCXR/PGK2/KYAT1/ETFDH/AGXT/LEP/FUT2/SHMT1/ADIPOQ/ABAT/CYP4F2/CYP4A11/DPYD/IDO2/AKR1C3/ACADSB/SULT1A1/AKR1B10/ADH4/TAT/MIR210/CPT1B/ACAD11/HOGA1/PRODH2/LOC102724560/ARHGAP11B",136
"GO:1901605","alpha-amino acid metabolic process","87/4095","209/18986",0.416267942583732,1.92997879313669,7.08930085164059,4.36333164612058e-11,4.35135215396988e-08,3.52720902721826e-08,"NOS2/IYD/DPEP1/CPS1/OTC/BCAT1/ASNS/ACAT1/TYR/ARG2/CAD/NOX4/PHGDH/GSTZ1/MTHFD1/HAO1/FAH/OCA2/PYCR3/IL4I1/BCAT2/GCDH/PLOD3/ASPA/AADAT/DAO/ART4/SLC38A1/AGXT2/GLS/AGMAT/KMO/HMGCL/ALDH8A1/ARG1/ALDH6A1/GOT1/SARDH/NDP/GNMT/GOT2/GAD1/IVD/ASS1/SCLY/RIDA/PSAT1/GLS2/GLUL/AMDHD1/AMT/BHMT/MMUT/HMGCLL1/PSPH/GLUD1/GLYAT/SLC7A11/MAT1A/QDPR/TDO2/ALDH4A1/UROC1/FTCD/ASRGL1/HAAO/MTHFD2L/SLC45A2/ASPG/GLYATL1/KYAT1/TTC36/AGXT/MSRA/SHMT1/TH/PYCR1/NAT8L/IDO2/ACADSB/TAT/HOGA1/PRODH2/GLYATL1B/EGLN2/LOC102724560/ARHGAP11B",87
"GO:0048706","embryonic skeletal system development","63/4095","134/18986",0.470149253731343,2.17979334098737,7.18703808424388,4.89072978127636e-11,4.35135215396988e-08,3.52720902721826e-08,"HOXA11/DLX6/ALX4/COL11A1/DLX3/HOXA9/WNT11/TBX15/SIX4/MTHFD1/BMP7/EYA1/DLX5/HOXA3/HOXA6/DLX4/COL1A1/NKX3-2/MDFI/DLX2/PRRX1/HOXB8/MTHFD1L/HOXA7/HOXC11/BMP4/SIX1/HOXD1/HOXD3/HOXD9/HOXD10/GSC/PDGFRA/TFAP2A/SULF1/RBP4/COL2A1/SLC39A1/OSR1/DLX1/ALX3/NODAL/MMP14/FLVCR1/IHH/HAND2/OSR2/SHOX2/TAPT1/HOXD4/SIX2/HOXB9/DMRT2/FOXC2/IRX5/SOX11/ALX1/HOXC9/HOXC6/HOXC4/HOXB7/SCX/LHX1",63
"GO:1903046","meiotic cell cycle process","89/4095","222/18986",0.400900900900901,1.85873125873126,6.74903016171741,2.77967752753871e-10,1.80928330727607e-07,1.46660628430112e-07,"NCAPD2/RAD51/MSH4/ASPM/TRIP13/NDC80/RAD54L/AURKA/DMC1/CDC25B/CCNE1/RAD51AP1/TTK/SMC4/CDC20/ZNF541/TEX11/NCAPH/KIF18A/ZWINT/CKS2/PRDM7/PKMYT1/SGO1/TUBG1/PSMC3IP/TOP2A/BRME1/FIGNL1/TESMIN/ESPL1/BRIP1/BRDT/BRCA2/SPATA22/P3H4/DNMT3L/MAEL/NUF2/FANCD2/STRA8/INCENP/DDX4/SYCP2L/PSMA8/SKA1/EME1/FMN2/FBXO43/CCNB2/CDC25C/NPM2/ANKLE1/HSF2BP/KASH5/WNT4/SPATA17/MSX1/SPDYA/CDC25A/PRDM9/PTTG1/DCAF13/SHOC1/SKA3/RPL10L/PLK1/TERB2/CENPX/OVOL1/IHO1/TOP6BL/TDRD12/CCNE2/CNTD1/TDRKH/TEX19/PLCB1/REC114/MYBL1/FANCA/RAD54B/EME2/EHMT2/MSH5/SPIRE2/MEIOSIN/MEIKIN/TUBB8",89
"GO:0016054","organic acid catabolic process","97/4095","249/18986",0.389558232931727,1.80614227361215,6.71477806429258,2.90507917032124e-10,1.80928330727607e-07,1.46660628430112e-07,"PON1/NOS2/FMO1/DPEP1/OTC/ACAA1/CYP2W1/ACAT1/ACACB/ARG2/BCKDHB/CYP26A1/GSTZ1/PCK2/HAO1/LPIN2/MLYCD/FAH/IL4I1/SULT2A1/BCAT2/GCDH/PON3/PHYH/AADAT/DAO/AGXT2/EHHADH/ACADL/GLS/SCP2/HAO2/KMO/ACADM/HMGCL/CNR1/ALDH8A1/ARG1/ALDH6A1/GOT1/AKR1D1/ACADS/SARDH/PCK1/GOT2/IDUA/ECHS1/GAD1/IVD/SCLY/RIDA/GLS2/GLUL/DBT/AMDHD1/SORD/SLC27A2/SLC16A3/AMT/HMGCLL1/IDNK/GLUD1/MAT1A/QDPR/TDO2/CPT2/ALDH4A1/UROC1/FTCD/ASRGL1/HAAO/FABP1/PPM1K/BDH2/LDHD/ACAA2/ACOX2/MFSD2A/DCXR/KYAT1/ETFDH/AGXT/LEP/SHMT1/ADIPOQ/ABAT/CYP4F2/CYP4A11/IDO2/ACADSB/TAT/CPT1B/ACAD11/HOGA1/PRODH2/LOC102724560/ARHGAP11B",97
"GO:0046395","carboxylic acid catabolic process","97/4095","249/18986",0.389558232931727,1.80614227361215,6.71477806429258,2.90507917032124e-10,1.80928330727607e-07,1.46660628430112e-07,"PON1/NOS2/FMO1/DPEP1/OTC/ACAA1/CYP2W1/ACAT1/ACACB/ARG2/BCKDHB/CYP26A1/GSTZ1/PCK2/HAO1/LPIN2/MLYCD/FAH/IL4I1/SULT2A1/BCAT2/GCDH/PON3/PHYH/AADAT/DAO/AGXT2/EHHADH/ACADL/GLS/SCP2/HAO2/KMO/ACADM/HMGCL/CNR1/ALDH8A1/ARG1/ALDH6A1/GOT1/AKR1D1/ACADS/SARDH/PCK1/GOT2/IDUA/ECHS1/GAD1/IVD/SCLY/RIDA/GLS2/GLUL/DBT/AMDHD1/SORD/SLC27A2/SLC16A3/AMT/HMGCLL1/IDNK/GLUD1/MAT1A/QDPR/TDO2/CPT2/ALDH4A1/UROC1/FTCD/ASRGL1/HAAO/FABP1/PPM1K/BDH2/LDHD/ACAA2/ACOX2/MFSD2A/DCXR/KYAT1/ETFDH/AGXT/LEP/SHMT1/ADIPOQ/ABAT/CYP4F2/CYP4A11/IDO2/ACADSB/TAT/CPT1B/ACAD11/HOGA1/PRODH2/LOC102724560/ARHGAP11B",97
