"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","157/2057","371/9399",0.423180592991914,1.9336287766315,9.71165139849406,1.720174891687e-19,6.02061212090448e-17,4.38191919777108e-17,"799/6915/2696/5646/2556/153/10911/10886/9340/51083/1815/6344/1136/2568/623/11255/5020/680/2564/2862/3972/2906/1395/2692/2557/5024/887/796/2570/2740/222642/2690/2566/7433/2641/6869/84634/116444/1143/1268/2891/148/5340/5737/10888/1908/2914/5732/4987/2925/554/9002/79924/2847/8484/7425/1131/4922/2922/4544/3351/1144/1910/9568/1134/5746/185/90226/2569/2846/3358/8973/2796/133/2900/2555/2895/2911/6750/2695/5739/1141/79957/5745/2905/3060/6755/2565/2560/134/7349/2899/2912/4886/4889/3360/2898/552/89832/6866/5729/624/1128/2915/154/1816/1138/147/3814/2358/2357/117579/8862/59350/23566/10316/146/339403/3952/1139/797/255061/2902/2859/3355/3352/2918/1132/5021/1129/2837/53829/2567/8811/200959/2903/152/84109/5030/130574/387129/2563/22953/347148/257313/2917/728/4828/553/5644/2642/100506013/55879/151/5645/6753/2831",157
NA,NA,"hsa04082","Neuroactive ligand signaling","87/2057","199/9399",0.437185929648241,1.99762302030327,7.5288173743302,3.05138544635564e-12,5.33992453112237e-10,3.88650146325298e-10,"2556/153/1815/6507/1136/2775/2568/11255/5332/2564/6530/2906/6505/2557/5024/6539/2570/2566/6869/60482/116444/1143/2891/148/2914/4987/5582/2792/6538/1131/3351/9568/2774/6531/2569/3358/8973/9177/2900/2555/2911/114/1141/2905/6512/2565/2560/134/2899/2912/3360/2898/5579/89832/3359/6866/2786/1128/2915/154/64805/1816/147/146/112/1139/255061/2902/3355/246213/3352/2918/1132/1129/53829/2567/23236/200959/2903/152/5030/2563/22953/2917/6536/55879/151",87
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","26/2057","41/9399",0.634146341463415,2.89758943287051,6.44511004932699,1.17853094277486e-08,1.37495276657067e-06,1.00071750228602e-06,"2556/2568/2564/2906/2557/2570/2566/116444/2891/2569/8973/774/2555/1141/2905/2565/2560/89832/1139/2902/246213/2567/200959/2903/2563/55879",26
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","36/2057","76/9399",0.473684210526316,2.1643937261725,5.3945657024714,7.09136879636663e-07,5.4921945830733e-05,3.99732658377064e-05,"30/2182/10998/5106/116519/345/28965/1962/33/6342/34/335/5105/81616/3158/11001/6258/123/2180/1376/2168/23305/2173/2171/364/5346/1581/8309/2172/2167/4973/4023/1582/9370/4312/1375",36
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","57/2057","143/9399",0.398601398601399,1.82131966235029,5.23837085952663,7.84599226153328e-07,5.4921945830733e-05,3.99732658377064e-05,"732/729/730/735/8970/6628/3586/255626/731/8365/714/715/2215/3015/221613/713/92815/716/2903/653604/8338/8340/3014/8329/8969/128312/8356/2214/126961/440689/8341/3112/8370/8362/8342/8339/8355/8344/8348/8353/85235/8354/8345/8294/8331/8332/8367/3012/8360/8343/8335/8359/8336/8366/8357/8358/8352",57
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","40/2057","89/9399",0.449438202247191,2.05360703107504,5.28599197048924,9.72590949294982e-07,5.67344720422073e-05,4.12924578472606e-05,"2556/92745/779/2775/2568/2564/2557/6539/81539/2570/2566/2744/57468/5582/2792/2571/6538/54407/27165/2752/9568/23710/2569/774/775/2555/114/3763/2565/2560/5579/2786/10243/112/2567/18/200959/2563/6714/55879",40
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","88/2057","254/9399",0.346456692913386,1.5830561286791,4.98612364917977,1.54395989832007e-06,7.71979949160035e-05,5.61862098336026e-05,"8913/6915/4843/3082/153/55283/816/27006/815/2249/779/3710/8911/623/4776/85366/5332/2906/5024/887/5159/7134/6869/84812/116444/6543/845/8074/148/5737/2925/5582/91860/1131/5156/1910/3706/1950/89869/2774/844/185/3358/774/775/814/2911/5137/114/9630/8822/2905/113026/9965/4486/3360/2277/5979/552/5579/89832/624/1128/2915/154/1816/163688/147/6588/146/4485/1139/8877/2902/810/5021/1129/23236/6546/2903/2248/22953/487/5154/553/777/6262/100507027",88
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","39/2057","89/9399",0.438202247191011,2.00226685529816,5.02841609170722,2.87402236743209e-06,0.000111767536511248,8.13465980021715e-05,"3675/3381/1298/3909/3161/51206/22798/3655/1311/1277/7450/1297/3910/7060/7143/6696/6385/3691/1284/3915/7057/22801/80144/1280/3680/341640/1758/56955/3673/1278/158326/7148/255743/2814/1282/1287/3914/1288/131873",39
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","39/2057","89/9399",0.438202247191011,2.00226685529816,5.02841609170722,2.87402236743209e-06,0.000111767536511248,8.13465980021715e-05,"732/729/1361/2160/623/2158/5054/7450/730/735/10878/5340/2162/5648/9002/5270/710/11326/731/714/715/3818/4153/5345/624/2266/2243/2244/713/2/7056/716/5627/2157/5265/728/5055/1378/3426",39
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","25/2057","48/9399",0.520833333333333,2.37983106465727,5.07277014778871,4.16958219396866e-06,0.000129140120492472,9.39907042381299e-05,"30/586/38/594/5019/259307/587/217/64902/1962/34/3155/4329/35/1892/3712/3158/219/1629/316/4594/54511/10449/18/36",25
