"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006956","complement activation",65,-0.790432142222707,-3.52322258217975,1e-10,2.09034482758621e-08,1.66025408348457e-08,2904,"tags=63%, list=10%, signal=57%","10747/720/721/1675/722/712/10877/727/1191/1379/718/713/2/714/3426/710/2219/716/78989/79987/732/10878/5648/3507/51279/715/3553/3494/4153/731/11326/1378/729/3493/730/735/5199/922/10584/8547/2220"
"GO:0006958","complement activation, classical pathway",42,-0.768695649151646,-3.18510133239725,1e-10,2.09034482758621e-08,1.66025408348457e-08,2904,"tags=64%, list=10%, signal=58%","10747/720/721/722/712/727/1191/1379/718/713/714/3426/710/716/79987/732/3507/51279/715/3494/4153/731/1378/729/3493/730/735"
"GO:0009062","fatty acid catabolic process",105,-0.62422138108623,-2.96873855456009,1e-10,2.09034482758621e-08,1.66025408348457e-08,3826,"tags=53%, list=13%, signal=47%","207/3028/8660/37/2166/5096/1666/2108/1891/3032/55862/1384/84693/283927/254013/55268/5194/8647/3033/51390/5825/4051/66002/83752/5095/51/11057/5264/2168/9663/84129/1376/8309/1892/32/3712/5106/56898/23417/34/1962/2639/11001/38/6342/33/54363/30/10449/8529/2110/35/5105/1579/84879/51179"
"GO:0009063","amino acid catabolic process",110,-0.597036717173682,-2.92863314951737,1e-10,2.09034482758621e-08,1.66025408348457e-08,3543,"tags=61%, list=12%, signal=54%","138199/137872/2653/3242/2108/56922/64087/23576/3034/8942/4842/10993/2875/3067/84706/11112/7915/130013/51380/10157/5053/2731/875/26275/1036/51268/2805/2184/2806/1610/58510/2746/383/5860/8659/1629/5009/189/1892/3712/10247/3155/152926/6470/6898/10841/23498/144193/38/1757/594/27165/18/4329/112817/102724560/36/64902/6999/4143/169355/8564/64577/2954/131669/51166/54511"
"GO:0072329","monocarboxylic acid catabolic process",130,-0.603476326163024,-2.87950090630729,1e-10,2.09034482758621e-08,1.66025408348457e-08,3826,"tags=53%, list=13%, signal=47%","207/3028/8660/6566/37/2166/5096/1666/2108/1891/3032/55862/1384/84693/283927/254013/55268/5194/51084/8647/3033/51390/5825/4051/66002/83752/5095/51/11057/5264/2184/51181/2168/9663/6652/84129/6822/1376/8309/414328/189/1892/32/3712/5106/56898/23417/34/1962/2639/197257/11001/38/6342/33/54363/30/10449/8529/2110/112817/35/64902/6718/5105/1579/84879/51179/1592"
"GO:1901606","alpha-amino acid catabolic process",97,-0.587275101086468,-2.80355741365683,1e-10,2.09034482758621e-08,1.66025408348457e-08,2574,"tags=57%, list=8%, signal=52%","64087/23576/3034/8942/4842/10993/2875/3067/84706/11112/130013/51380/10157/5053/2731/875/26275/1036/51268/2805/2184/2806/1610/58510/2746/383/5860/8659/5009/189/3712/10247/3155/6470/6898/10841/23498/144193/38/1757/27165/4329/112817/102724560/36/64902/6999/4143/169355/8564/64577/2954/131669/51166/54511"
"GO:0019395","fatty acid oxidation",107,-0.562513469919301,-2.70535645736531,1e-10,2.09034482758621e-08,1.66025408348457e-08,3826,"tags=50%, list=13%, signal=44%","207/3028/8660/5562/37/79602/1666/2108/1891/3032/55862/1384/2329/254013/55268/5194/8647/3033/5825/4051/83752/51422/51/2327/5264/2168/10891/84129/1376/8309/1892/32/5166/3712/56898/23417/34/1962/2639/11001/38/6342/285440/33/54363/30/10060/10449/8529/2110/35/84879/51179/127"
"GO:0034440","lipid oxidation",114,-0.515821305212996,-2.53857953832206,1e-10,2.09034482758621e-08,1.66025408348457e-08,3826,"tags=47%, list=13%, signal=42%","207/3028/8660/5562/37/79602/1666/2108/1891/3032/55862/1384/2329/254013/55268/5194/8647/3033/5825/4051/83752/51422/51/2327/5264/2168/10891/84129/1376/8309/1892/32/5166/3712/56898/23417/34/1962/2639/11001/38/6342/285440/33/54363/30/10060/10449/8529/2110/35/84879/51179/127"
"GO:0045839","negative regulation of mitotic nuclear division",59,0.773211869218567,2.17681205267682,1e-10,2.09034482758621e-08,1.66025408348457e-08,2779,"tags=46%, list=9%, signal=42%","220134/991/83540/332/655/1063/7272/9212/221150/5347/699/147841/701/9319/10403/891/55143/57405/83903/11130/1111/4085/9735/27085/54908/652/7517"
"GO:0048704","embryonic skeletal system morphogenesis",94,0.733841236942306,2.1399240873301,1e-10,2.09034482758621e-08,1.66025408348457e-08,3709,"tags=46%, list=12%, signal=40%","1280/10736/3225/3233/3207/6495/3219/3235/3232/3236/257/116039/8092/655/6664/1746/51804/3218/3200/3227/1301/6474/145258/2138/3205/4188/5396/28982/3204/7020/3975/3221/130497/3237/60529/652/3217/25902/2303/27173/4323/4838/10265"
