"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"203218_at",1.18450845494635,5.805553500233,20.4112420151823,1.91032228567076e-65,9.91586402268451e-64,138.29167711449,"MAPK9"
"201041_s_at",-1.90660510268588,10.5393010744058,-18.6071836814976,2.8268840444428e-57,9.24362024987551e-56,119.538625163611,"DUSP1"
"202679_at",1.14658853858097,6.41120466266246,18.1826206765744,2.31493967258832e-55,6.74726133890009e-54,115.147925554687,"NPC1"
"203077_s_at",0.768879944880215,5.16971472065448,17.2794837756963,2.59168904647241e-51,6.21893660418616e-50,105.85701407099,"SMAD2"
"203075_at",0.906190609440258,5.30861218609227,15.2186189033141,3.09429520324116e-42,4.63998421453025e-41,85.0379707629373,"SMAD2"
"210570_x_at",0.45929902790749,4.19715087246932,13.6059596709085,2.24226376114157e-35,2.43090211456186e-34,69.3161359057287,"MAPK9"
"201044_x_at",-1.38716088214565,5.64622665562057,-13.5552691713209,3.64550283269544e-35,3.91975166965051e-34,68.8326500939206,"DUSP1"
"203076_s_at",0.731333200165392,5.98276482938953,12.1728297166637,1.53844300429349e-29,1.27590498397048e-28,55.9541434095812,"SMAD2"
"204790_at",-0.64898118459778,5.29249417749702,-11.4289743875409,1.24373288582614e-26,8.983277295354e-26,49.3040723384878,"SMAD7"
"205398_s_at",0.355064520413988,4.10261039973075,9.81612060394592,1.11936716682848e-20,6.01207623515115e-20,35.7071375177525,"SMAD3"
"221563_at",-0.677863730096425,7.41574367783358,-8.27962869562409,1.53520957331656e-15,6.27958243545431e-15,24.0120883062631,"DUSP10"
"215501_s_at",-0.522793995935724,5.66303336871537,-6.97564868982366,1.13943829237069e-11,3.70192761810775e-11,15.2406729109657,"DUSP10"
"221470_s_at",-0.152370839612136,3.24833876145601,-6.36264783246534,5.03277637373805e-10,1.4751857876846e-09,11.5300994573476,"IL37"
"202284_s_at",-0.50152348377633,6.77648875627815,-6.14508060433176,1.80775376656059e-09,5.1182531308037e-09,10.2809527141478,"CDKN1A"
"221841_s_at",-0.658861226405542,5.62475445037022,-5.72284576915471,1.95323397136646e-08,5.12968676428686e-08,7.96176758423071,"KLF4"
"206943_at",0.105193211777602,3.55891549992233,5.53287431632531,5.45019840579791e-08,1.38323476293946e-07,6.96456274394277,"TGFBR1"
"217584_at",0.129203695326659,3.50963507482007,5.47479550029752,7.41688837749369e-08,1.86515268650513e-07,6.66552104541201,"NPC1"
"208944_at",0.380976807197273,7.89877691192461,5.08853866378037,5.37861279115956e-07,1.26956698784758e-06,4.74724794766209,"TGFBR2"
"219480_at",-0.133680843775723,3.59920915186662,-4.90573921194077,1.31764286921392e-06,3.01492718985363e-06,3.88279428011537,"SNAI1"
"218284_at",0.274843531829474,6.14693052348159,4.65231889615482,4.36242949486471e-06,9.54436824441417e-06,2.73135531274249,"SMAD3"
"207433_at",-0.098588112911512,3.65098511883187,-4.16333378700219,3.78268596805225e-05,7.61530161256555e-05,0.666961366042437,"IL10"
"203084_at",-0.142656934234424,4.12087443172992,-4.04126604133236,6.28650290106615e-05,0.000124267950821963,0.184516709562353,"TGFB1"
"202527_s_at",0.281224438870711,5.8742910500699,4.03971803382013,6.32661898261829e-05,0.000125016551162431,0.178483967933507,"SMAD4"
"204813_at",-0.185927384560731,4.25618334800394,-3.71143382128058,0.000232838262981435,0.000435518054604838,-1.05214999963845,"MAPK10"
"220266_s_at",-0.201170879815579,4.18649629783048,-3.54996888843942,0.000427285870524891,0.00077501032539287,-1.62154104690085,"KLF4"
"205396_at",0.106314464740338,3.85326509346036,3.35013656164807,0.000878134920460283,0.00153656360276674,-2.29308336030406,"SMAD3"
"205207_at",-0.153804615613068,3.51907349712629,-3.10993244655969,0.00199432576346036,0.00335091270661249,-3.05130855865528,"IL6"
"207113_s_at",-0.056508171230378,3.59247023248589,-3.05531612325643,0.00238653893822914,0.0039647455294305,-3.21619172523383,"TNF"
"204014_at",0.150203437871833,3.55663180759074,2.83889470656223,0.00473908695887458,0.00758063274191647,-3.84196803101613,"DUSP4"
"210477_x_at",-0.119844398017903,3.82377555014757,-2.63312414909808,0.00876167816250431,0.0135470802195977,-4.3958316528074,"MAPK8"
"202431_s_at",-0.332227939435088,8.1017193367162,-2.45080436852656,0.0146464722365946,0.0219820478374664,-4.85283080986,"MYC"
"207334_s_at",0.0646939306648174,3.63720028478227,2.29103439427728,0.022438826238223,0.0326558906393536,-5.22707474446541,"TGFBR2"
"210671_x_at",-0.0606198247378177,3.78275214881168,-2.00385358636137,0.0457053859383073,0.06317221364746,-5.83774132844521,"MAPK8"
"202526_at",-0.0732276841289031,3.911023176099,-1.87394356098683,0.0616083666126281,0.0831703611839953,-6.0876519409369,"SMAD4"
"203085_s_at",0.14410947741254,4.55904166623518,1.80457250860993,0.0718331327016302,0.0957889813162406,-6.21435416194679,"TGFB1"
"205397_x_at",-0.0659165601896144,4.23525803862683,-1.65386363861312,0.0988766694175344,0.128431032629583,-6.47337653138999,"SMAD3"
"207530_s_at",-0.0283659668307268,3.66760018899187,-0.949252704711493,0.343019209448663,0.397106927788034,-7.38734970301095,"CDKN2B"
"205210_at",0.0205294717496801,3.97297967431264,0.772071506239766,0.440491349833535,0.49680213624864,-7.5396976494015,"TGFBRAP1"
"204015_s_at",0.0391697602786162,3.80601926422617,0.669232435394279,0.503702272791689,0.558893926479911,-7.61377684654498,"DUSP4"
"214376_at",0.00916528719200415,3.56671593745146,0.430597208145164,0.666974555494332,0.711311752957269,-7.74501124096506,"MAPK10"
"219847_at",0.0118444544555155,4.15405617718635,0.417714878061046,0.676361712574464,0.719599742742865,-7.75047730069382,"HDAC11"
