"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_1684690",27.768063063063,201.195739130435,2.90362408403852,0.00443264954835907,0.995535714015206,-3.52647647159569,"HDAC11"
"ILMN_2203891",-20.0265835065835,176.564869565217,-2.52851186952282,0.0128267608397802,0.995535714015206,-3.8165723345735,"SMAD7"
"ILMN_2203896",-16.2104989604989,156.855217391304,-2.23789817308689,0.0271766923774487,0.995535714015206,-4.01859640089068,"SMAD7"
"ILMN_1787212",6.45547817047818,102.485826086957,1.93815334682738,0.0550847429457575,0.995535714015206,-4.20462898319644,"CDKN1A"
"ILMN_2353936",2.33932432432433,81.787652173913,1.5809424354684,0.116670162299988,0.995535714015206,-4.39486042743288,"IL37"
"ILMN_1728106",-3.96675329175327,97.0813043478261,-1.53110323041119,0.128522543604765,0.995535714015206,-4.4185735318033,"TNF"
"ILMN_2256907",-2.69370062370063,121.494869565217,-1.33362242920562,0.18499412002737,0.995535714015206,-4.5055223229652,"MAPK10"
"ILMN_1744862",2.67939708939708,107.815913043478,1.32872555758833,0.186600037004871,0.995535714015206,-4.50753453846311,"TGFBR2"
"ILMN_1748281",-10.4900554400554,124.043913043478,-1.32284243871283,0.188543164485723,0.995535714015206,-4.50994273734796,"MAPK10"
"ILMN_1674167",2.29772349272348,100.629652173913,1.29764739990998,0.197036034178712,0.995535714015206,-4.52014129942753,"IL10"
"ILMN_2129668",2.09378724878726,95.2312173913044,1.19333034345545,0.235225023625677,0.995535714015206,-4.5603762631406,"TGFB1"
"ILMN_1779857",-16.6517948717948,180.414260869565,-1.13455933253476,0.258947153460198,0.995535714015206,-4.58162177818387,"KLF4"
"ILMN_1723198",-11.2424462924463,170.072608695652,-1.02634102832975,0.306910235367789,0.995535714015206,-4.61803506085048,"CDKN2B"
"ILMN_1741477",-89.8732363132361,1157.18939130435,-1.02479973236106,0.307633882107177,0.995535714015206,-4.61852819208109,"SMAD4"
"ILMN_1784602",-565.476077616077,3944.6767826087,-1.00845711554562,0.31537718620424,0.995535714015206,-4.62371274284035,"CDKN1A"
"ILMN_2137789",-33.166528066528,219.348260869565,-0.953822302329497,0.342197783505641,0.995535714015206,-4.64045741205717,"KLF4"
"ILMN_1745927",-2.09159736659736,119.06,-0.92853078317164,0.355100066043175,0.995535714015206,-4.64790160059437,"TGFBR1"
"ILMN_1754521",1.60033957033958,107.166173913043,0.926518423219402,0.356139852822757,0.995535714015206,-4.6484855385585,"SMAD2"
"ILMN_1680618",130.293565488565,1031.964,0.913295536281614,0.363020421269555,0.995535714015206,-4.65229177361324,"MYC"
"ILMN_1670111",1.60513167013168,104.988869565217,0.909917982395718,0.364791371859897,0.995535714015206,-4.65325545349508,"CDKN2B"
"ILMN_2110908",62.2468260568259,561.86852173913,0.849402331538389,0.397443053458928,0.995535714015206,-4.66993046757594,"MYC"
"ILMN_1697710",-1.32139639639638,96.8665217391304,-0.827928039002061,0.40944632865552,0.995535714015206,-4.67557785208763,"IL37"
"ILMN_1849941",10.1963132363132,271.622347826087,0.822489613844979,0.41252052216366,0.995535714015206,-4.67698558756473,"MAPK8"
"ILMN_1759175",-6.07221760221758,161.085304347826,-0.822136112626362,0.412720825452642,0.995535714015206,-4.67707677660761,"DUSP10"
"ILMN_2400292",14.6948163548164,364.972,0.67928784867931,0.498336526117963,0.995650364942955,-4.7107707830146,"MAPK9"
"ILMN_1682738",-17.965634095634,556.06052173913,-0.436799932866893,0.663085165022155,0.996932325529026,-4.75344054005842,"SMAD3"
"ILMN_2283398",0.744306999306998,100.811652173913,0.407770611813248,0.684209171649838,0.996932325529026,-4.75731448055802,"DUSP4"
"ILMN_1751036",0.705460845460852,105.918,0.40017702317649,0.689777278154801,0.996932325529026,-4.75828411719464,"SMAD2"
"ILMN_1699651",-4.36619196119197,131.748173913043,-0.354829332962618,0.723375004268435,0.996932325529026,-4.76369682284789,"IL6"
"ILMN_2400297",1.88910949410951,166.063826086957,0.341988207825689,0.732991310941683,0.996932325529026,-4.76511186617553,"MAPK9"
"ILMN_1808391",0.827602217602218,84.7319130434783,0.32301792574909,0.747275180982038,0.996932325529026,-4.76710720392397,"DUSP4"
