"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_1729188",-25653.9528645485,11608.9133532934,-22.7493584563523,7.6036674695236e-53,3.59820751992796e-48,76.6009469861871,"HAMP"
"ILMN_1793504",-603.952217391305,318.919760479042,-21.2812222249936,2.91233197270652e-49,6.89086868062089e-45,72.0509272004041,"FCN2"
"ILMN_2329735",-936.308827759198,504.995089820359,-21.1117582277868,7.68140611444195e-49,1.21166500049207e-44,71.5028090867801,"ECM1"
"ILMN_1780060",-10127.3084364549,4322.60862275449,-20.1549397447006,1.96280425321388e-46,2.32209557176468e-42,68.3168164785747,"FCN3"
"ILMN_1658121",-155.423066889632,189.173293413174,-19.8290334688125,1.33090340113761e-45,1.25962021497268e-41,67.1958316409966,"CFP"
"ILMN_1745103",-923.033180602007,430.767964071856,-19.294538579888,3.15973484752426e-44,2.49208287424239e-40,65.3175770122395,"CLEC1B"
"ILMN_1693939",-239.459632107024,203.25880239521,-19.0216229351344,1.61346529065038e-43,1.09074863548796e-39,64.3393630499873,"OIT3"
"ILMN_2098013",-1242.14053846154,716.080299401198,-18.963670296231,2.28360098874499e-43,1.35080707486738e-39,64.1299704010186,"CETP"
"ILMN_1718173",-801.264088628763,500.11497005988,-18.5648513977519,2.52042620264434e-42,1.32524009735039e-38,62.6730600617954,"CDHR2"
"ILMN_2193817",-923.154237458195,452.713832335329,-18.5237257197835,3.2319938678625e-42,1.52944413814989e-38,62.5212444290747,"CLEC4G"
"ILMN_1746220",-508.378254180602,320.584550898204,-18.3195884308141,1.11376051358069e-41,4.79139772942411e-38,61.7632955095164,"DBH"
"ILMN_1681983",-154.465705685619,169.078323353293,-17.6580751731072,6.33954634946169e-40,2.50000010291022e-36,59.2571690228613,"RSPO3"
"ILMN_1815102",-1196.89318896321,779.86,-17.111021720503,1.85890736947689e-38,6.76670881064502e-35,57.1272732212733,"LCAT"
