"symbol","TCGA_logFC","TCGA_padj","GSE14520_logFC","GSE14520_padj","GSE36376_logFC","GSE36376_padj","GSE76427_logFC","GSE76427_padj","TCGA_dir","GSE14520_dir","GSE36376_dir","GSE76427_dir","consistent"
"HDAC11",1.74716530338854,1.30865455664321e-39,0.0118444544555155,0.719599742742865,0.343407160951971,1.53219408627692e-26,37.994585284281,4.5745633552121e-06,"UP","UP","UP","UP",TRUE
"DUSP1",-1.68200394498654,5.45540664236463e-20,-1.90660510268588,9.24362024987551e-56,-1.57906823969975,1.72033977263085e-42,-3008.84199665552,0.00336119073384627,"DOWN","DOWN","DOWN","DOWN",TRUE
"CDKN2B",1.31458217503848,1.66620494740879e-15,-0.0283659668307268,0.397106927788034,0.241224717952838,2.17655168824059e-13,93.0370468227424,2.05161427676983e-05,"UP","DOWN","UP","UP",FALSE
"DUSP10",-1.15633298944641,5.48940841157908e-15,-0.677863730096425,6.27958243545431e-15,-0.199470254444744,1.50718953030152e-09,13.4499197324415,0.0452112989220988,"DOWN","DOWN","DOWN","UP",FALSE
"MAPK8",-0.434934450238984,1.42602886376648e-10,-0.119844398017903,0.0135470802195977,-0.0303917419943189,0.110466179300947,-0.513814381270903,0.835867693555662,"DOWN","DOWN","DOWN","DOWN",TRUE
"IL10",-1.52707165617512,1.48336881977285e-10,-0.098588112911512,7.61530161256555e-05,-0.0578999837425151,0.000976267276271804,-2048.85719899666,1.00193921695948e-05,"DOWN","DOWN","DOWN","DOWN",TRUE
"NPC1",0.664551088811754,1.33892587052091e-09,1.14658853858097,6.74726133890009e-54,0.896543044921689,3.63698191435321e-46,209.616100334448,1.66372209053739e-06,"UP","UP","UP","UP",TRUE
"IL6",-1.92549683844008,1.19475266378114e-08,-0.153804615613068,0.00335091270661249,-0.0469839390728922,0.0414847509449337,-53.893364548495,0.00279752241896303,"DOWN","DOWN","DOWN","DOWN",TRUE
"MYC",-1.18210225415577,1.35777788558109e-08,-0.332227939435088,0.0219820478374664,-0.739141520007595,4.38383282838487e-13,-142.960901337793,0.0620871140220618,"DOWN","DOWN","DOWN","DOWN",TRUE
"SMAD2",0.359164710936108,5.03094282464927e-08,0.768879944880215,6.21893660418616e-50,0.0609672558747984,0.00229519366732065,-7.24471906354518,0.154134637332145,"UP","UP","UP","DOWN",FALSE
"KLF4",-1.16185815543333,5.50275713837311e-08,-0.658861226405542,5.12968676428686e-08,-0.142707205471925,0.0211727344967069,-55.5044314381271,0.128442077132462,"DOWN","DOWN","DOWN","DOWN",TRUE
"IL37",1.9828369075124,1.19402206073746e-05,-0.152370839612136,1.4751857876846e-09,-0.0786503765822238,0.000431330387392345,-4.01400836120401,0.0374187220727659,"UP","DOWN","DOWN","DOWN",FALSE
"SMAD7",-0.583767824008033,1.23728313046467e-05,-0.64898118459778,8.983277295354e-26,-0.083555473722048,1.80184055526341e-05,-24.9826672240802,0.000750146569483525,"DOWN","DOWN","DOWN","DOWN",TRUE
"CDKN1A",-0.719817968518715,5.38221976491746e-05,-0.50152348377633,5.1182531308037e-09,-0.34046880944388,0.000832894953567746,6.57659531772574,0.0357056945073114,"DOWN","DOWN","DOWN","UP",FALSE
"SMAD4",-0.284126643271733,7.82965499495013e-05,0.281224438870711,0.000125016551162431,0.105718493183107,0.0492543386951127,179.917660535117,0.0146725747877504,"DOWN","UP","UP","UP",FALSE
"SNAI1",-0.744644566940362,0.000702618159319633,-0.133680843775723,3.01492718985363e-06,-0.0135517954154895,0.32446961034997,-4.29238461538463,0.0155425577786556,"DOWN","DOWN","DOWN","DOWN",TRUE
"MAPK9",0.24876685152744,0.000728499905037391,1.18450845494635,9.91586402268451e-64,0.373772672996542,4.24382135004618e-20,145.202192307692,8.12564231017374e-15,"UP","UP","UP","UP",TRUE
"SMAD3",0.362171573151116,0.000834579145281662,0.355064520413988,6.01207623515115e-20,0.489469317951038,1.39379469249324e-26,105.885906354515,0.00358481722242847,"UP","UP","UP","UP",TRUE
"TGFBR2",-0.413494006079951,0.00112425099553552,0.380976807197273,1.26956698784758e-06,-0.0108632797683934,0.592906791221403,336.726356187292,0.0375100108285715,"DOWN","UP","DOWN","UP",FALSE
"TNF",-0.797132138305555,0.00164637090486872,-0.056508171230378,0.0039647455294305,-0.0264531635958415,0.158338740468437,-6.79273411371237,0.00773080583742345,"DOWN","DOWN","DOWN","DOWN",TRUE
"TGFB1",0.573259807740515,0.00671003667130826,-0.142656934234424,0.000124267950821963,-0.0139215738532785,0.357040988289093,1.29640969899665,0.484451401436718,"UP","DOWN","DOWN","UP",FALSE
"CCDC110",0.654769925531496,0.008181481620142,NA,NA,0.05604006412563,0.00440803792011912,9.89098327759196,0.0251069565932745,"UP",NA,"UP","UP",NA
"DUSP4",0.517157597144042,0.0479828065969474,0.150203437871833,0.00758063274191647,-0.0268720256917866,0.164089475067088,2.17018227424749,0.392249197894026,"UP","UP","DOWN","UP",FALSE
"TGFBRAP1",0.0871840908646613,0.278306926984552,0.0205294717496801,0.49680213624864,0.0860176912930819,0.0015556219354361,3.943364548495,0.717830740477685,"UP","UP","UP","UP",TRUE
"MAPK10",-0.241158405240452,0.363026597457004,-0.185927384560731,0.000435518054604838,-0.038429204873757,0.0110580929642087,-3.11647658862877,0.145835932459812,"DOWN","DOWN","DOWN","DOWN",TRUE
"TGFBR1",0.0914030917056766,0.441860851167802,0.105193211777602,1.38323476293946e-07,0.0132773774775727,0.398206648275219,4.07538461538461,0.0794252953094954,"UP","UP","UP","UP",TRUE
