"probe_id","gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg16737749","MAPK10",-0.298518578448991,0.344462291716866,-11.4795672279312,8.17090570896668e-27,4.91230492170088e-25,50.1028578944302
"cg07661480","SMAD7",0.152373041315858,0.82884045477855,10.7493961407987,4.74332266870274e-24,1.80449826524337e-22,43.8198209876474
"cg27531490","TNF",-0.233462093813865,0.451736576979661,-10.4214719533678,7.66030976159849e-23,2.37546968150178e-21,41.0750334057364
"cg03066050","KLF4",0.24168972968573,0.608307163057802,9.62249962733711,5.42143890640484e-20,1.03954336876626e-18,34.605954553667
"cg14185918","KLF4",0.237178475274034,0.547744123486573,9.3517372360655,4.6535867971063e-19,7.62795785239255e-18,32.4885695069089
"cg22117438","MAPK10",-0.312659429751505,0.62850391196894,-8.9719342781508,8.87836826145347e-18,1.17377845755993e-16,29.5865235916818
"cg03388189","MAPK10",-0.188532685042198,0.74606025174313,-8.87020982608797,1.92909081224826e-17,2.40935629649076e-16,28.823173398669
"cg23932332","DUSP10",0.199082156022014,0.802187472209954,8.74005232350323,5.16194595492481e-17,6.01151622667285e-16,27.855250440887
"cg04425624","TNF",-0.202803766152427,0.44798329990043,-8.51588762614741,2.74752428434671e-16,2.83243269138231e-15,26.2117981026174
"cg27338511","MAPK10",-0.280889151972997,0.575080713623563,-8.4551453188047,4.30004376553138e-16,4.28778995635874e-15,25.7716862654
"cg24452282","TNF",-0.224865708204146,0.402022397296197,-8.23747030183446,2.10202850651504e-15,1.8743175985639e-14,24.2131366363039
"cg14037088","SMAD4",-0.121227740808655,0.809620818861855,-8.14893568426508,3.97499033322836e-15,3.3921913598167e-14,23.5876788383374
"cg01569083","TNF",-0.216793308128971,0.461991684896218,-7.95870991789354,1.53698378739209e-14,1.19243401548872e-13,22.2606508681698
"cg19124225","TNF",-0.216330207626311,0.730586257731033,-7.91869288916494,2.03686657603586e-14,1.54628782765022e-13,21.984448268252
"cg10269439","IL37",-0.240094664294892,0.654770681094699,-7.79993423687415,4.66959584132593e-14,3.34812929653159e-13,21.1708930928106
"cg03037030","TNF",-0.257808393062807,0.38114983475947,-7.78141312613046,5.31029016079171e-14,3.77341399884452e-13,21.0448464700238
"cg11484872","TNF",-0.224445502256924,0.620901696358928,-7.63044376685091,1.50199956891285e-13,9.94453360009519e-13,20.0258741896266
"cg02229946","IL37",-0.223815961113799,0.638463302519593,-7.6254866911796,1.55377100044144e-13,1.02654903147948e-12,19.9926733555363
"cg05181212","MAPK10",-0.224910681961188,0.395721830244348,-7.44137375317439,5.40777528605199e-13,3.28515177026025e-12,18.7712619416865
"cg19509125","MAPK10",-0.237932955213167,0.665799824955817,-7.34301095235321,1.04320344578534e-12,6.0674827109078e-12,18.1281628783586
"cg26736341","TNF",-0.178485905136118,0.564723135046775,-7.25572505473966,1.85872084740547e-12,1.03998536234562e-11,17.5630610121827
"cg08553327","TNF",-0.211294041816474,0.505076918769837,-7.22911657211946,2.21429811071135e-12,1.22460951246063e-11,17.3918439341464
"cg24032190","SMAD3",-0.156868391695623,0.129447985763281,-7.21204701415784,2.47682023406222e-12,1.35975126741638e-11,17.2822662648795
"cg00714464","IL37",-0.188449682357406,0.736299441901785,-7.04544771889851,7.31553070556393e-12,3.73752206716379e-11,16.2235082389372
"cg06830800","NPC1",-0.102981029130458,0.321488990198217,-6.93421591001937,1.49155100008465e-11,7.29509168291744e-11,15.5275498898311
"cg10717214","TNF",-0.168805684886449,0.398881511089146,-6.88216720974279,2.07549877308134e-11,9.93441881441836e-11,15.2049283394383
"cg10650821","TNF",-0.163646724402565,0.390421955129387,-6.81586992443871,3.15273686251366e-11,1.46848847846324e-10,14.7968128100413
"cg05941778","DUSP10",0.193155398847995,0.675640968491775,6.64540945616949,9.10545972652961e-11,3.96019831483472e-10,13.7621481803616
"cg15735736","TGFB1",-0.21198475896157,0.394648442672663,-6.62544883695415,1.02955377516912e-10,4.44421948576007e-10,13.642382627073
"cg26729380","TNF",-0.181341528198093,0.443338248011579,-6.60949736520258,1.13551226203343e-10,4.87241793953627e-10,13.5468834118085
"cg12520249","MAPK10",-0.192807023116963,0.730418860885756,-6.44852342285058,3.02023336230517e-10,1.21754701901156e-09,12.5937115512409
"cg15717598","DUSP4",-0.218259165084335,0.764532703567034,-6.406595813213,3.88466751039853e-10,1.54182270821961e-09,12.348620180478
"cg20477259","TNF",-0.153042249444143,0.448964941102071,-6.31692514817952,6.62618963162684e-10,2.54423249097648e-09,11.8288830289104
"cg06156847","IL37",-0.145209149918012,0.803775356403791,-6.29618282303212,7.49104522210592e-10,2.85421971764726e-09,11.7095246964336
"cg18456755","CCDC110",-0.203385750778337,0.634985723530496,-6.2712334943224,8.67848985709311e-10,3.27628657424056e-09,11.5663903684001
"cg15989608","TNF",-0.141886260259505,0.665501229283371,-6.22593377548716,1.13228770876023e-09,4.2020670940592e-09,11.307716359419
"cg21467614","TNF",-0.179033351919252,0.45601057692862,-6.2218992165007,1.15934501555351e-09,4.29668493554068e-09,11.2847537797156
